Flight Number,Date,Time,Version Booster,Launch Site,Payload,Payload Mass,Orbit,Customer,Launch Outcome,Booster Landing
1,4,June,F9 v1.0[7]B0003.1[8],CCAFS,Dragon Spacecraft Qualification Unit,,LEO,SpaceX,"Success
",Failure[9][10](parachute)
2,8,December,F9 v1.0[7]B0004.1[8],CCAFS,Dragon,,LEO,NASA,Success,Failure[9][14](parachute)
3,22,May,F9 v1.0[7]B0005.1[8],CCAFS,Dragon,"525 kg (1,157 lb)[19]",LEO,NASA,Success,No attempt
4,8,October,F9 v1.0[7]B0006.1[8],CCAFS,SpaceX CRS-1,"4,700 kg (10,400 lb)",LEO,NASA,"Success
",No attempt
5,1,March,F9 v1.0[7]B0007.1[8],CCAFS,SpaceX CRS-2,"4,877 kg (10,752 lb)",LEO,NASA,"Success
",No attempt
6,29,September,F9 v1.1[7]B1003[8],VAFB,CASSIOPE,"500 kg (1,100 lb)",Polar orbit,MDA,Success,Uncontrolled(ocean)[d]
7,3,December,F9 v1.1B1004,CCAFS,SES-8,"3,170 kg (6,990 lb)",GTO,SES,Success,No attempt[38]
8,6,January,F9 v1.1,CCAFS,Thaicom 6,"3,325 kg (7,330 lb)",GTO,Thaicom,Success,No attempt[43]
9,18,April,F9 v1.1,Cape Canaveral,SpaceX CRS-3,"2,296 kg (5,062 lb)[45]",LEO,NASA,"Success
",Controlled(ocean) [d][46]
10,14,July,F9 v1.1,Cape Canaveral,Orbcomm-OG2,"1,316 kg (2,901 lb)",LEO,Orbcomm,Success,Controlled(ocean)[d][46]
11,5,August,F9 v1.1,Cape Canaveral,AsiaSat 8,"4,535 kg (9,998 lb)",GTO,AsiaSat,Success,No attempt[57]
12,7,September,F9 v1.1B1011[8],Cape Canaveral,AsiaSat 6,"4,428 kg (9,762 lb)",GTO,AsiaSat,Success,No attempt
13,21,September,F9 v1.1B1010[8],Cape Canaveral,SpaceX CRS-4,"2,216 kg (4,885 lb)[62]",LEO,NASA,Success,Uncontrolled(ocean)[d][64]
14,10,January,F9 v1.1B1012[8],Cape Canaveral,SpaceX CRS-5,"2,395 kg (5,280 lb)[69]",LEO,NASA,Success,Failure (drone ship)
15,11,February,F9 v1.1B1013[8],Cape Canaveral,DSCOVR,"570 kg (1,260 lb)",HEO,USAF,"Success
",Controlled(ocean)[d]
16,2,March,F9 v1.1B1014[8],Cape Canaveral,ABS-3A,"4,159 kg (9,169 lb)",GTO,ABS,"Success
",No attempt[77]
17,14,April,F9 v1.1B1015[8],Cape Canaveral,SpaceX CRS-6,"1,898 kg (4,184 lb)[82]",LEO,NASA,"Success
",Failure[83](drone ship)
18,27,April,F9 v1.1B1016[8],Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg (10,377 lb)",GTO,,"Success
",No attempt[89]
19,28,June,F9 v1.1B1018[8],Cape Canaveral,SpaceX CRS-7,"1,952 kg (4,303 lb)[92]",LEO,NASA,Failure,Precluded[94](drone ship)
20,22,December,F9 FTB1019.1[98],Cape Canaveral,Orbcomm-OG2,"2,034 kg (4,484 lb)",LEO,Orbcomm,"Success
",Success[99](ground pad)
21,17,January,F9 v1.1B1017[8],VAFB,Jason-3,"553 kg (1,219 lb)",LEO,NASA,"Success
",Failure(drone ship)
22,4,March,F9 FTB1020.1[108],Cape Canaveral,SES-9,"5,271 kg (11,621 lb)",GTO,SES,"Success
",Failure(drone ship)
23,8,April,F9 FTB1021.1[115],Cape Canaveral,SpaceX CRS-8,"3,136 kg (6,914 lb)[116]",LEO,NASA,Success,Success[118](drone ship)
24,6,May,F9 FTB1022.1[122],Cape Canaveral,JCSAT-14,"4,696 kg (10,353 lb)[124]",GTO,SKY Perfect JSAT Group,"Success
",Success(drone ship)
25,27,May,F9 FTB1023.1[129],Cape Canaveral,Thaicom 8,"3,100 kg (6,800 lb)[132]",GTO,Thaicom,"Success
",Success[133](drone ship)
26,15,June,F9 FTB1024.1[108],Cape Canaveral,ABS-2A,"3,600 kg (7,900 lb)",GTO,ABS,"Success
",Failure[64](drone ship)
27,18,July,F9 FTB1025.1[129],Cape Canaveral,SpaceX CRS-9,"2,257 kg (4,976 lb)[142]",LEO,NASA,"Success
",Success(ground pad)
28,14,August,F9 FTB1026.1[108],Cape Canaveral,JCSAT-16,"4,600 kg (10,100 lb)",GTO,SKY Perfect JSAT Group,"Success
",Success(drone ship)
29,14,January,F9 FTB1029.1[151],VAFB,Iridium NEXT,"9,600 kg (21,200 lb)",Polar,Iridium Communications,"Success
",Success[154](drone ship)
30,19,February,F9 FTB1031.1[8],KSC,SpaceX CRS-10,"2,490 kg (5,490 lb)[160]",LEO,NASA,"Success
",Success(ground pad)
31,16,March,F9 FTB1030.1[163],KSC,EchoStar 23,"5,600 kg (12,300 lb)[164]",GTO,EchoStar,"Success
",No attempt[165]
32,30,March,F9 FT ♺B1021.2[115],KSC,SES-10,"5,300 kg (11,700 lb)[169]",GTO,SES,Success,Success(drone ship)
33,1,May,F9 FTB1032.1[129],KSC,NROL-76,Classified,LEO,NRO,"Success
",Success(ground pad)
34,15,May,F9 FTB1034.1[179],KSC,Inmarsat-5 F4,"6,070 kg (13,380 lb)[181]",GTO,Inmarsat,"Success
",No attempt[165]
35,3,June,F9 FTB1035.1[185],KSC,SpaceX CRS-11,"2,708 kg (5,970 lb)[186]",LEO,NASA,"Success
",Success(ground pad)
36,23,June,F9 FT ♺ B1029.2[195],KSC,BulgariaSat-1,"3,669 kg (8,089 lb)[197]",GTO,Bulsatcom,"Success
",Success(drone ship)
37,25,June,F9 FTB1036.1[198],VAFB,Iridium NEXT,"9,600 kg (21,200 lb)",LEO,Iridium Communications,"Success
",Success(drone ship)
38,5,July,F9 FTB1037.1[200],KSC,Intelsat 35e,"6,761 kg (14,905 lb)[202]",GTO,Intelsat,"Success
",No attempt[165]
39,14,August,F9 B4B1039.1[207],KSC,SpaceX CRS-12,"3,310 kg (7,300 lb)",LEO,NASA,"Success
",Success(ground pad)
40,24,August,F9 FTB1038.1[209],VAFB,Formosat-5,"475 kg (1,047 lb)[212]",SSO,NSPO,"Success
",Success(drone ship)
41,7,September,F9 B4B1040.1[108],KSC,Boeing X-37B,"4,990 kg (11,000 lb)[216]+ OTV payload",LEO,USAF,"Success
",Success(ground pad)
42,9,October,F9 B4B1041.1[219],VAFB,Iridium NEXT,"9,600 kg (21,200 lb)",Polar,Iridium Communications,"Success
",Success(drone ship)
43,11,October,F9 FT ♺ B1031.2[220],KSC,SES-11,"5,200 kg (11,500 lb)",GTO,SES S.A.,"Success
",Success(drone ship)
44,30,October,F9 B4B1042.1[219],KSC,Koreasat 5A,"3,500 kg (7,700 lb)",GTO,KT Corporation,"Success
",Success(drone ship)
45,15,December,F9 FT ♺ B1035.2[227],Cape Canaveral,SpaceX CRS-13,"2,205 kg (4,861 lb)",LEO,NASA,"Success
",Success(ground pad)
46,23,December,F9 FT ♺ B1036.2[227],VAFB,Iridium NEXT,"9,600 kg (21,200 lb)",Polar,Iridium Communications,Success,Controlled(ocean)[d][230]
47,8,January,F9 B4B1043.1[238],CCAFS,Zuma,Classified,LEO,Northrop Grumman,Success,Success(ground pad)
48,31,January,F9 FT ♺ B1032.2[245],CCAFS,GovSat-1,"4,230 kg (9,330 lb)[247]",GTO,SES,Success,Controlled(ocean)[d][248]
49,22,February,F9 FT ♺B1038.2[268],VAFB,Paz,"2,150 kg (4,740 lb)",SSO,Hisdesat,Success,No attempt[271]
50,6,March,F9 B4B1044.1[108],CCAFS,Hispasat 30W-6,"6,092 kg (13,431 lb)[279]",GTO,Hispasat,Success,No attempt[281]
51,30,March,F9 B4 ♺B1041.2[268],VAFB,Iridium NEXT,"9,600 kg (21,200 lb)",Polar,Iridium Communications,Success,No attempt[287]
52,2,April,F9 B4 ♺B1039.2[292],CCAFS,SpaceX CRS-14,"2,647 kg (5,836 lb)[292]",LEO,NASA,Success,No attempt[294]
53,18,April,F9 B4B1045.1[268],CCAFS,Transiting Exoplanet Survey Satellite,362 kg (798 lb)[305],HEO,NASA,Success,Success[306](drone ship)
54,11,May,F9 B5[311]B1046.1[268],KSC,Bangabandhu-1,"3,600 kg (7,900 lb)[314]",GTO,Thales-Alenia,Success,Success[315](drone ship)
55,22,May,F9 B4 ♺B1043.2[322],VAFB,Iridium NEXT,"6,460 kg (14,240 lb)[g]",Polar,Iridium Communications,Success,No attempt[165]
56,4,June,F9 B4 ♺B1040.2[268],CCAFS,SES-12,"5,384 kg (11,870 lb)[332]",GTO,SES,Success,No attempt[165]
57,29,June,F9 B4 ♺B1045.2[336],CCAFS,SpaceX CRS-15,"2,697 kg (5,946 lb)[337]",LEO,NASA,Success,No attempt[165]
58,22,July,F9 B5B1047.1,CCAFS,Telstar 19V,"7,075 kg (15,598 lb)[342]",GTO,Telesat,Success,Success[344](drone ship)
59,25,July,F9 B5[349]B1048.1[350],VAFB,Iridium NEXT,"9,600 kg (21,200 lb)",Polar,Iridium Communications,Success,Success[352](drone ship)
60,7,August,F9 B5 ♺ B1046.2[354],CCAFS,Merah Putih,"5,800 kg (12,800 lb)[357]",GTO,Telkom Indonesia,Success,Success[358](drone ship)
61,10,September,F9 B5B1049.1[268],CCAFS,Telstar 18V,"7,060 kg (15,560 lb)[361]",GTO,Telesat,Success,Success[361](drone ship)
62,8,October,F9 B5 ♺B1048.2[364],VAFB,SAOCOM 1A,"3,000 kg (6,600 lb)[363]",SSO,CONAE,Success,Success[363](ground pad)
63,15,November,F9 B5 ♺B1047.2[268],KSC,Es'hail 2,"5,300 kg (11,700 lb)[369]",GTO,Es'hailSat,Success,Success[370](drone ship)
64,3,December,F9 B5 ♺ B1046.3[268]SHERPA,VAFB,SSO-A,"~4,000 kg (8,800 lb)[372]",SSO,Spaceflight Industries,Success,Success[373](drone ship)
65,5,December,F9 B5B1050[268],CCAFS,SpaceX CRS-16,"2,500 kg (5,500 lb)[382]",LEO,NASA,"Success
",Failure[383](ground pad)
66,23,December,F9 B5B1054[387],CCAFS,GPS III,"4,400 kg (9,700 lb)[388]",MEO,USAF,Success,No attempt[386]
67,11,January,F9 B5 ♺B1049.2[397],VAFB,Iridium NEXT,"9,600 kg (21,200 lb)",Polar,Iridium Communications,"Success
",Success(drone ship)
68,22,February,F9 B5 ♺B1048.3[399],CCAFS,Nusantara Satu,"4,850 kg (10,690 lb)[403]",GTO,PSN,"Success
",Success(drone ship)
69,2,March,F9 B5B1051.1[268][413],KSC,Crew Dragon Demo-1,"12,055 kg (26,577 lb)[415][h]",LEO,NASA,"Success
",Success(drone ship)
70,4,May,F9 B5B1056.1[420],CCAFS,SpaceX CRS-17,"2,495 kg (5,501 lb)[432]",LEO,NASA,"Success
",Success(drone ship)
71,24,May,F9 B5 ♺B1049.3[434],CCAFS,Starlink,"13,620 kg (30,030 lb)[5]",LEO,SpaceX,"Success
",Success(drone ship)
72,12,June,F9 B5 ♺B1051.2[420],VAFB,RADARSAT Constellation,"4,200 kg (9,300 lb)[443]",SSO,Canadian Space Agency,"Success
",Success(ground pad)
73,25,July,F9 B5 ♺B1056.2[465],CCAFS,SpaceX CRS-18,"2,268 kg (5,000 lb)[464]",LEO,NASA,"Success
",Success(ground pad)
74,6,August,F9 B5 ♺B1047.3[472],CCAFS,AMOS-17,"6,500 kg (14,300 lb)[474]",GTO,Spacecom,"Success
",No attempt[474]
75,11,November,F9 B5 ♺B1048.4,CCAFS,Starlink,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,"Success
",Success(drone ship)
76,5,December,F9 B5B1059.1[482],CCAFS,SpaceX CRS-19,"2,617 kg (5,769 lb)",LEO,NASA,"Success
",Success(drone ship)
77,17,December,F9 B5 ♺B1056.3[482],CCAFS,JCSat-18,"6,956 kg (15,335 lb)[486]",GTO,Sky Perfect JSAT,"Success
",Success(drone ship)
78,7,January,F9 B5 ♺ B1049.4,CCAFS,Starlink,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,"Success
",Success(drone ship)
79,19,January,F9 B5 ♺ B1046.4,KSC,Crew Dragon in-flight abort test,"12,050 kg (26,570 lb)",Sub-orbital,NASA,"Success
",No attempt
80,29,January,F9 B5 ♺B1051.3,CCAFS,Starlink,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,"Success
",Success(drone ship)
81,17,February,F9 B5 ♺B1056.4,CCAFS,Starlink,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,"Success
",Failure(drone ship)
82,7,March,F9 B5 ♺B1059.2,CCAFS,SpaceX CRS-20,"1,977 kg (4,359 lb)[507]",LEO,NASA,"Success
",Success(ground pad)
83,18,March,F9 B5 ♺ B1048.5,KSC,Starlink,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,"Success
",Failure(drone ship)
84,22,April,F9 B5 ♺B1051.4,KSC,Starlink,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,"Success
",Success(drone ship)
85,30,May,F9 B5B1058.1[518],KSC,Crew Dragon Demo-2,"12,530 kg (27,620 lb)[519]",LEO,NASA,"Success
",Success(drone ship)
86,4,June,F9 B5 ♺B1049.5,CCAFS,Starlink,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,"Success
",Success(drone ship)
87,13,June,F9 B5 ♺B1059.3,CCAFS,Starlink,"15,410 kg (33,970 lb)[523]",LEO,SpaceX,"Success
",Success(drone ship)
88,30,June,F9 B5B1060.1,CCAFS,GPS III,"4,311 kg (9,504 lb)[530]",MEO,U.S. Space Force,"Success
",Success(drone ship)
89,20,July,F9 B5 ♺ B1058.2[544],CCAFS,ANASIS-II,"5,000–6,000 kg (11,000–13,000 lb)",GTO,Republic of Korea Army,"Success
",Success(drone ship)
90,7,August,F9 B5 ♺B1051.5,KSC,Starlink,"14,932 kg (32,919 lb)",LEO,SpaceX,"Success
",Success(drone ship)
91,18,August,F9 B5 ♺B1049.6[544],CCAFS,Starlink,"~15,440 kg (34,040 lb)",LEO,SpaceX,"Success
",Success(drone ship)
92,30,August,F9 B5 ♺B1059.4,CCAFS,SAOCOM 1B,"3,130 kg (6,900 lb)[558]",SSO,CONAE,"Success
",Success(ground pad)
93,3,September,F9 B5 ♺B1060.2[563],KSC,Starlink,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,"Success
",Success(drone ship)
94,6,October,F9 B5 ♺B1058.3[565],KSC,Starlink,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,"Success
",Success(drone ship)
95,18,October,F9 B5 ♺B1051.6[568],KSC,Starlink,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,"Success
",Success(drone ship)
96,24,October,F9 B5 ♺B1060.3,CCAFS,Starlink,"15,600 kg (34,400 lb)",LEO,SpaceX,"Success
",Success(drone ship)
97,5,November,F9 B5B1062.1,CCAFS,GPS III,"4,311 kg (9,504 lb)",MEO,USSF,"Success
",Success(drone ship)
98,16,November,F9 B5B1061.1[582],KSC,Crew-1,"~12,500 kg (27,600 lb)",LEO,NASA,"Success
",Success(drone ship)
99,21,November,F9 B5B1063.1,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg (2,628 lb)",LEO,NASA,"Success
",Success(ground pad)
100,25,November,F9 B5 ♺B1049.7[590],CCAFS,Starlink,"15,600 kg (34,400 lb)",LEO,SpaceX,"Success
",Success(drone ship)
101,6,December,F9 B5 ♺B1058.4[592],KSC,SpaceX CRS-21,"2,972 kg (6,552 lb)",LEO,NASA,"Success
",Success(drone ship)
102,13,December,F9 B5 ♺B1051.7,CCSFS,SXM-7,"7,000 kg (15,000 lb)",GTO,Sirius XM,"Success
",Success(drone ship)
103,19,December,F9 B5 ♺B1059.5,KSC,NROL-108,Classified,LEO,NRO,"Success
",Success(ground pad)
104,8,January,F9 B5 ♺B1060.4,CCSFS,Türksat 5A,"3,500 kg (7,700 lb)",GTO,Türksat,"Success
",Success(drone ship)
105,20,January,F9 B5 ♺B1051.8[609],KSC,Starlink,"15,600 kg (34,400 lb)",LEO,SpaceX,"Success
",Success(drone ship)
106,24,January,F9 B5 ♺B1058.5[613],CCSFS,Transporter-1,"~5,000 kg (11,000 lb)",SSO,Various,"Success
",Success(drone ship)
107,4,February,F9 B5 ♺B1060.5[624],CCSFS,Starlink,"15,600 kg (34,400 lb)",LEO,SpaceX,"Success
",Success(drone ship)
108,16,February,F9 B5 ♺B1059.6,CCSFS,Starlink,"15,600 kg (34,400 lb)",LEO,SpaceX,"Success
",Failure (drone ship)
109,4,March,F9 B5 ♺B1049.8[634],KSC,Starlink,"15,600 kg (34,400 lb)",LEO,SpaceX,"Success
",Success(drone ship)
110,11,March,F9 B5 ♺B1058.6[638],CCSFS,Starlink,"15,600 kg (34,400 lb)",LEO,SpaceX,"Success
",Success(drone ship)
111,14,March,F9 B5 ♺B1051.9,KSC,Starlink,"15,600 kg (34,400 lb)",LEO,SpaceX,"Success
",Success(drone ship)
112,24,March,F9 B5 ♺B1060.6[643],CCSFS,Starlink,"15,600 kg (34,400 lb)",LEO,SpaceX,"Success
",Success(drone ship)
113,7,April,F9 B5 ♺B1058.7,CCSFS,Starlink,"15,600 kg (34,400 lb)",LEO,SpaceX,"Success
",Success(drone ship)
114,23,April,F9 B5 ♺B1061.2[647],KSC,Crew-2,"~13,000 kg (29,000 lb)[648]",LEO,NASA,"Success
",Success(drone ship)
115,29,April,F9 B5 ♺B1060.7[652],CCSFS,Starlink,"15,600 kg (34,400 lb)",LEO,SpaceX,"Success
",Success(drone ship)
116,4,May,F9 B5 ♺B1049.9[655],KSC,Starlink,"15,600 kg (34,400 lb)",LEO,SpaceX,"Success
",Success(drone ship)
117,9,May,F9 B5 ♺B1051.10[657],CCSFS,Starlink,"15,600 kg (34,400 lb)",LEO,SpaceX,"Success
",Success(drone ship)
118,15,May,F9 B5 ♺B1058.8[660],KSC,Starlink,"~14,000 kg (31,000 lb)",LEO,SpaceX,"Success
",Success(drone ship)
119,26,May,F9 B5 ♺B1063.2[665],CCSFS,Starlink,"15,600 kg (34,400 lb)",LEO,SpaceX,"Success
",Success(drone ship)
120,3,June,F9 B5 B1067.1[668],KSC,SpaceX CRS-22,"3,328 kg (7,337 lb)",LEO,NASA,"Success
",Success(drone ship)
121,6,June,F9 B5 ♺ B1061.3,CCSFS,SXM-8,"7,000 kg (15,000 lb)",GTO,Sirius XM,"Success
",Success(drone ship)
